          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
         
node   3 sent_total   5497  recv_total   5461

node   4  (   1,    0) (   0,    0) (   3,    2) (   7,    3) (   9,    7) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    7) (   8,    8) (   9,    8) (   9,    7) (   8,    7) (   9,    8) (   7,    8) (   8,    9)
          (   9,    8) (   9,    7) (   7,    8) (   8,    8) (   8,    9) (   8,    9) (   9,    8) (   9,    9) (   8,    7) (   8,    8)
          (   9,    8) (   8,    8) (   8,    9) (   9,    9) (   6,    9) (   8,    7) (   8,    9) (   8,    7) (   9,    7) (   8,    8)
          (   6,    8) (   7,    7) (   9,    8) (   8,    8) (   9,    7) (   8,    9) (   9,    8) (   8,    9) (   8,    9) (   7,    8)
          (   8,    9) (   8,    9) (   9,    6) (   9,    9) (   9,    8) (   8,    9) (   9,    9) (   9,    7) (   9,    8) (   9,    7)
          (   6,    8) (   8,    8) (   7,    7) (   8,    7) (   8,    7) (   7,    8) (   8,    7) (   7,    6) (   9,    7) (   8,    8)
          (   8,    7) (   9,    7) (   9,    8) (   9,    7) (   9,    7) (   9,    7) (   9,    7) (   9,    7) (   7,    8) (   9,    7)
          (   8,    7) (   8,    8) (   6,    6) (   8,    6) (   6,    6) (   8,    8) (   6,    7) (   8,    6) (   8,    8) (   7,    8)
          (   7,    8) (   8,    8) (   8,    8) (   6,    7) (   7,    8) (   7,    7) (   7,    7) (   8,    8) (   8,    7) (   5,    7)
          (   7,    7) (   5,    7) (   7,    7) (   8,    8) (   7,    7) (   6,    7) (   7,    8) (   7,    7) (   8,    8) (   8,    6)
          (   8,    7) (   7,    8) (   8,    8) (   6,    8) (   8,    7) (   8,    7) (   8,    8) (   7,    8) (   6,    7) (   7,    8)
          (   7,    8) (   8,    8) (   7,    8) (   8,    5) (   8,    7) (   6,    8) (   7,    8) (   7,    6) (   7,    6) (   7,    8)
          (   8,    6) (   7,    8) (   5,    7) (   7,    7) (   7,    8) (   7,    8) (   7,    7) (   8,    8) (   7,    6) (   7,    7)
          (   7,    6) (   7,    6) (   8,    8) (   7,    7) (   8,    6) (   6,    7) (   8,    7) (   7,    7) (   8,    8) (   7,    8)
          (   8,    7) (   7,    8) (   5,    7) (   8,    8) (   7,    8) (   8,    8) (   8,    8) (   8,    6) (   8,    7) (   7,    7)
          (   7,    8) (   8,    8) (   8,    7) (   8,    7) (   8,    7) (   8,    7) (   7,    8) (   6,    8) (   8,    7) (   6,    8)
          (   7,    7) (   6,    8) (   7,    4) (   8,    7) (   8,    7) (   5,    8) (   7,    7) (   8,    7) (   7,    6) (   8,    8)
          (   8,    6) (   8,    7) (   5,    7) (   7,    7) (   7,    8) (   7,    5) (   7,    8) (   8,    8) (   8,    7) (   8,    7)
          (   7,    7) (   7,    8) (   8,    7) (   8,    7) (   8,    7) (   7,    8) (   7,    8) (   6,    8) (   8,    8) (   7,    8)
          (   8,    8) (   7,    7) (   8,    8) (   8,    8) (   5,    8) (   8,    6) (   6,    8) (   6,    6) (   7,    8) (   8,    8)
          (   8,    7) (   7,    7) (   8,    8) (   7,    7) (   7,    7) (   8,    8) (   7,    7) (   7,    7) (   7,    8) (   8,    8)
          (   7,    8) (   8,    6) (   7,    8) (   7,    8) (   8,    8) (   7,    8) (   8,    7) (   6,    7) (   6,    7) (   8,    7)
          (   8,    8) (   8,    6) (   8,    7) (   8,    6) (   6,    7) (   8,    7) (   7,    8) (   6,    7) (   8,    7) (   8,    7)
          (   8,    6) (   8,    8) (   6,    8) (   8,    7) (   6,    7) (   7,    8) (   8,    8) (   7,    5) (   7,    8) (   8,    6)
          (   8,    8) (   8,    8) (   6,    8) (   7,    7) (   7,    8) (   7,    7) (   7,    8) (   7,    5) (   8,    8) (   7,    8)
          (   6,    7) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
         
node   4 sent_total   5505  recv_total   5475

node   5  (   0,    0) (   1,    0) (   0,    0) (   7,    2) (   9,    7) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    8) (   9,    9) (   9,    7) (   9,    9) (   9,    9) (   7,    9) (   9,    9) (   9,    9)
          (   9,    7) (   8,    9) (   8,    8) (   9,    8) (   7,    7) (   8,    9) (   9,    8) (   8,    8) (   8,    8) (   9,    9)
          (   7,    9) (   8,    8) (   6,    9) (   9,    7) (   8,    8) (   8,    7) (   8,    7) (   8,    8) (   7,    8) (   9,    9)
          (   7,    7) (   8,    6) (   8,    7) (   8,    9) (   9,    9) (   9,    9) (   9,    9) (   8,    9) (   9,    8) (   7,    8)
          (   9,    8) (   7,    9) (   9,    7) (   6,    8) (   8,    9) (   9,    9) (   8,    8) (   9,    7) (   7,    8) (   9,    7)
          (   6,    7) (   8,    7) (   8,    8) (   8,    7) (   8,    8) (   9,    7) (   8,    8) (   7,    7) (   9,    7) (   8,    7)
          (   8,    7) (   9,    8) (   9,    7) (   9,    6) (   8,    8) (   7,    7) (   8,    5) (   9,    8) (   8,    8) (   9,    7)
          (   7,    7) (   7,    8) (   7,    7) (   8,    8) (   8,    6) (   6,    8) (   6,    7) (   8,    7) (   8,    7) (   8,    8)
          (   6,    8) (   8,    8) (   8,    8) (   7,    8) (   8,    8) (   7,    8) (   6,    6) (   8,    7) (   7,    6) (   8,    7)
          (   6,    7) (   8,    7) (   7,    7) (   7,    7) (   6,    7) (   8,    7) (   8,    7) (   8,    7) (   7,    7) (   7,    7)
          (   8,    7) (   6,    6) (   7,    8) (   7,    8) (   7,    6) (   8,    7) (   8,    6) (   7,    8) (   7,    8) (   7,    8)
          (   6,    8) (   8,    8) (   5,    8) (   7,    7) (   7,    6) (   6,    7) (   6,    7) (   7,    8) (   8,    6) (   8,    8)
          (   8,    8) (   8,    8) (   7,    8) (   7,    4) (   8,    8) (   7,    7) (   7,    6) (   7,    8) (   8,    7) (   7,    7)
          (   7,    7) (   7,    8) (   7,    8) (   7,    8) (   8,    8) (   8,    5) (   7,    7) (   6,    8) (   7,    5) (   8,    7)
          (   7,    8) (   7,    8) (   7,    6) (   7,    6) (   8,    7) (   8,    8) (   8,    7) (   8,    7) (   8,    7) (   8,    8)
          (   8,    8) (   5,    8) (   8,    8) (   8,    8) (   4,    8) (   7,    8) (   8,    7) (   8,    8) (   8,    7) (   7,    5)
          (   8,    8) (   6,    7) (   8,    6) (   7,    7) (   6,    8) (   7,    8) (   8,    7) (   7,    6) (   7,    8) (   7,    7)
          (   7,    8) (   8,    8) (   8,    7) (   8,    7) (   7,    8) (   7,    7) (   7,    6) (   8,    7) (   6,    7) (   8,    6)
          (   8,    6) (   6,    6) (   7,    8) (   6,    7) (   7,    7) (   8,    5) (   7,    8) (   8,    7) (   5,    6) (   8,    8)
          (   7,    7) (   8,    8) (   6,    6) (   8,    8) (   6,    8) (   7,    8) (   8,    7) (   7,    6) (   8,    7) (   8,    7)
          (   7,    8) (   8,    7) (   7,    8) (   8,    8) (   7,    8) (   8,    8) (   8,    7) (   8,    7) (   7,    7) (   8,    7)
          (   8,    7) (   8,    8) (   7,    8) (   6,    5) (   7,    7) (   8,    7) (   8,    7) (   7,    7) (   8,    7) (   6,    6)
          (   8,    6) (   8,    8) (   7,    8) (   7,    8) (   8,    7) (   8,    8) (   5,    8) (   6,    8) (   8,    7) (   6,    7)
          (   6,    8) (   7,    8) (   6,    7) (   6,    8) (   8,    6) (   8,    7) (   8,    7) (   7,    8) (   7,    8) (   8,    7)
          (   7,    8) (   7,    7) (   8,    8) (   6,    8) (   7,    8) (   7,    8) (   8,    8) (   6,    6) (   8,    6) (   8,    8)
          (   7,    7) (   8,    6) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
         
node   5 sent_total   5498  recv_total   5466

node   6  (   0,    0) (   1,    0) (   0,    0) (   7,    2) (   9,    7) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   8,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   7,    8) (   9,    9) (   9,    9) (   8,    8)
          (   9,    6) (   8,    7) (   8,    8) (   6,    8) (   9,    9) (   7,    9) (   9,    8) (   7,    9) (   7,    8) (   8,    9)
          (   9,    7) (   9,    9) (   8,    9) (   8,    8) (   7,    9) (   7,    6) (   9,    9) (   7,    9) (   9,    8) (   8,    8)
          (   8,    9) (   9,    8) (   8,    8) (   8,    9) (   6,    9) (   9,    9) (   9,    6) (   9,    8) (   8,    8) (   9,    9)
          (   9,    8) (   7,    8) (   8,    7) (   9,    9) (   8,    8) (   9,    9) (   8,    8) (   8,    9) (   8,    9) (   9,    7)
          (   8,    7) (   9,    6) (   7,    8) (   8,    5) (   9,    6) (   9,    7) (   9,    8) (   8,    6) (   6,    8) (   9,    6)
          (   9,    6) (   7,    8) (   7,    8) (   8,    8) (   9,    7) (   9,    7) (   9,    8) (   8,    6) (   8,    8) (   9,    7)
          (   9,    8) (   6,    6) (   6,    8) (   8,    7) (   7,    7) (   6,    5) (   6,    8) (   7,    7) (   8,    8) (   7,    8)
          (   8,    6) (   8,    6) (   8,    8) (   7,    8) (   8,    6) (   7,    8) (   7,    7) (   8,    8) (   8,    7) (   6,    8)
          (   8,    6) (   8,    7) (   7,    7) (   6,    8) (   6,    8) (   7,    8) (   7,    7) (   8,    8) (   8,    7) (   5,    5)
          (   4,    8) (   8,    7) (   6,    5) (   8,    5) (   6,    8) (   8,    7) (   8,    6) (   6,    7) (   8,    8) (   8,    7)
          (   7,    8) (   7,    8) (   7,    8) (   7,    7) (   8,    8) (   8,    8) (   7,    8) (   7,    7) (   8,    8) (   8,    7)
          (   8,    8) (   6,    7) (   7,    6) (   8,    7) (   8,    7) (   7,    7) (   6,    7) (   6,    7) (   8,    8) (   7,    7)
          (   6,    6) (   8,    6) (   8,    8) (   6,    8) (   5,    7) (   8,    8) (   7,    8) (   7,    7) (   8,    7) (   6,    8)
          (   8,    7) (   8,    8) (   7,    8) (   8,    8) (   7,    7) (   7,    8) (   8,    8) (   8,    7) (   8,    6) (   7,    8)
          (   7,    4) (   8,    7) (   8,    7) (   8,    7) (   8,    7) (   8,    8) (   8,    7) (   6,    7) (   8,    6) (   8,    7)
          (   7,    4) (   7,    8) (   7,    8) (   8,    7) (   8,    8) (   8,    7) (   5,    7) (   7,    8) (   8,    7) (   6,    7)
          (   8,    7) (   8,    5) (   7,    8) (   7,    7) (   5,    7) (   8,    7) (   8,    6) (   8,    8) (   7,    8) (   7,    6)
          (   7,    8) (   8,    8) (   7,    8) (   8,    8) (   5,    8) (   7,    8) (   8,    8) (   8,    7) (   6,    6) (   8,    6)
          (   7,    7) (   7,    7) (   5,    8) (   8,    8) (   8,    7) (   8,    7) (   7,    7) (   8,    7) (   6,    7) (   8,    8)
          (   8,    8) (   8,    7) (   7,    7) (   8,    8) (   8,    6) (   7,    7) (   8,    8) (   7,    6) (   8,    6) (   5,    8)
          (   7,    8) (   8,    6) (   7,    7) (   8,    7) (   8,    6) (   6,    6) (   8,    7) (   8,    8) (   5,    6) (   8,    8)
          (   7,    8) (   8,    8) (   8,    8) (   7,    8) (   8,    7) (   8,    7) (   6,    7) (   8,    8) (   8,    8) (   8,    7)
          (   8,    7) (   7,    6) (   8,    7) (   7,    7) (   8,    7) (   6,    6) (   5,    8) (   8,    8) (   8,    7) (   8,    8)
          (   7,    7) (   5,    8) (   8,    7) (   7,    7) (   8,    8) (   8,    7) (   7,    7) (   8,    7) (   6,    7) (   7,    8)
          (   7,    8) (   8,    6) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
